uni_id,University,Campus,Suburb,lat,long,Average_per_person
2,Monash University,Clayton,CLAYTON,-37.9153,145.134,191
1,La Trobe University,Melboune,BUNDOORA,-37.717,145.0432,178
3,RMIT University,City,CBD,-37.8081,144.9633,294
4,Swinburne University of Technology,Hawthorn,HAWTHORN,-37.8529,144.9917,225
5,University of Divinity,Melboune,KEW,-37.8057,145.0368,212
6,University of Melbourne,Parkville,PARKVILLE,-37.7963,144.9614,260
7,Victoria University,Footscray,FOOTSCRAY,-37.7933,144.8965,191
8,Monash University,Caulfield,CAULFIELD,-37.8764,145.0454,223
9,Deakin University,Melboune,BURWOOD,-37.85,145.1148,222
10,University of Melbourne,Burnley,BURNLEY,-37.8263,145.0173,275
11,Australian Catholic University,Melboune,FITZROY,-37.8078,144.9785,295
12,Deakin University,Geelong,GEELONG,-38.144,144.3603,150
13,Deakin University,Warrnambool ,WARRNAMBOOL,-38.3828,142.4845,125
14,La Trobe University,Albury-Wodonga,WODONGA,-36.1113,146.849,116
15,La Trobe University,Mildura,MILDURA,-34.2061,142.1668,104
16,La Trobe University,Shepparton,SHEPPARTON,-36.3804,145.4065,112
17,La Trobe University,Bendigo,BENDIGO,-36.7808142,144.2999769,125
18,Monash University,Berwick,BERWICK,-38.0397732,145.3395401,166
19,Monash University,Parkville,PARKVILLE,-37.7844,144.9586,260
20,Monash University,Peninsula,FRANKSTON,-38.1526224,145.1361129,158
21,Federation University Australia,Ballarat,BALLARAT,-37.6245,143.8859,125
22,Swinburne University of Technology,Croydon,CROYDON,-37.800427,145.2862057,175
23,Swinburne University of Technology,Wantirna,WANTIRNA,-37.8221,145.039,186
24,RMIT University,Brunswick,BRUNSWICK,-37.7718,144.9579,225
25,RMIT University,Bundoora,BUNDOORA,-37.6807836,145.0690794,178
26,Victoria University,City,CBD,-37.8182,144.9643,294
27,Victoria University,Sunshine,SUNSHINE,-37.7771,144.8334,155
28,Victoria University,Werribee,WERRIBEE,-37.8928,144.701,152
29,University of Melbourne,Southbank,SOUTHBANK,-37.8247,144.9702,289
30,University of Melbourne,Werribee,WERRIBEE,-37.8891441,144.6938467,152
